"bucket","start_depth","end_depth","mid_depth","von_post_2","bulk_density_g_cm3","particle_density_g_cm3","porosity"
"B",20,25,22.5,1,0.0198611646741226,0.739607272727279,0.973146336702605
"B",25,30,27.5,2,0.0213921076087837,0.708394312096035,0.969801977170754
"B",30,35,32.5,2,0.0256252076116357,0.825121927710847,0.968943732130925
"B",35,40,37.5,2,0.0436676978895026,0.980778756114612,0.9554765051575
"B",40,45,42.5,3,0.0353722594694161,0.827391999999997,0.957248487452844
"B",45,50,47.5,3,0.0288871212896824,0.842464648023143,0.965711176893337
"B",50,55,52.5,3,0.0402433614297484,0.866971221719456,0.953581664048855
"B",55,60,57.5,3,0.0516893595562279,0.91081262059974,0.943249183874734
"B",60,65,62.5,4,0.0680826302007565,1.06972548887957,0.936355045375177
"B",65,70,67.5,4,0.0761667074721404,1.080576,0.92951286399833
"B",70,75,72.5,4,0.0725326617346136,0.980545641025643,0.926028265590223
"B",75,80,77.5,4,0.0840614078881677,1.10278610558531,0.923773606266511
"B",80,85,82.5,4,0.0550039483325591,1.28646736842106,0.957244194697244
"B",85,90,87.5,4,0.0450217503018352,1.30455328050713,0.965488760808349
"B",90,95,92.5,4,0.0631526814188641,1.43092790532545,0.955865923654273
"B",95,100,97.5,4,0.0627452447645489,1.32165530864197,0.952525258019793
"B",100,105,102.5,4,0.0505221451350913,1.42373311740891,0.964514314854853
"B",105,110,107.5,4,0.0448180319746778,1.39110895338612,0.967782514902528
"B",110,115,112.5,4,0.0387064821599489,1.28264617821782,0.969822946641661
"B",115,120,117.5,4,0.0321874956909049,1.47584523874489,0.978190466828163
"B",120,125,122.5,4,0.0698753862150657,1.31629207392197,0.946914983688333
"B",125,130,127.5,4,0.0849505424247301,1.39096493827161,0.938926898811491
"B",135,140,137.5,4,0.150751562096643,1.28607648351648,0.882781806503103
"B",140,145,142.5,4,0.148306942170752,1.21035628040057,0.877468358224515
"B",145,150,147.5,4,0.160937478454525,1.3459403821656,0.880427483574289
"B",150,155,152.5,4,0.14851066049791,1.29353844859322,0.885190377866679
"B",155,160,157.5,5,0.164400690016204,1.33282374558304,0.87665234014548
"B",160,165,162.5,5,0.162363506744628,1.38500923076923,0.882770812542201
"B",165,170,167.5,5,0.12874998276362,1.36345112060466,0.905570518210787
"B",170,175,172.5,5,0.15278874536822,1.36174115768463,0.887798981101514
"B",175,180,177.5,5,0.154825928639796,1.39189307655272,0.888765932349308
"B",180,185,182.5,5,0.109193023356488,1.40263619047619,0.922151571378308
"B",185,190,187.5,5,0.163789535034731,1.40459903381643,0.883390539868378
"B",190,195,192.5,5,0.163789535034731,1.39283743870507,0.882405849754435
"B",195,200,197.5,5,0.195569594071321,1.41740751665926,0.862023030234617
"C",0,5,2.5,1,0.02922954725973,0.885898378378374,0.967005755995135
"C",5,10,7.5,1,0.0224896803681855,0.707430659898484,0.968209350197781
"C",10,15,12.5,1,0.0231920394891483,0.742437372262772,0.968762295170481
"C",15,20,17.5,1,0.0361907487795958,0.821941066376494,0.955969168277305
"C",20,25,22.5,2,0.021789433089086,0.707437087794435,0.969199475875631
"C",25,30,27.5,2,0.0304675472003889,0.771872096288866,0.960527725581899
"C",30,35,32.5,2,0.0253088470238378,0.809327440982059,0.968728544539244
"C",35,40,37.5,2,0.0378366996549993,0.884255819209027,0.957210686282116
"C",40,45,42.5,2,0.023178705339159,0.703432258064518,0.967049129360466
"C",45,50,47.5,3,0.026187624750499,0.729251455399064,0.964089718907495
"C",50,55,52.5,3,0.0440620932668804,0.981476150627618,0.955106302645557
"C",55,60,57.5,3,0.0384795870483341,0.861089004092768,0.955312880706361
"C",60,65,62.5,3,0.0299479268321245,0.753684462947547,0.960264635527973
"C",65,70,67.5,3,0.0267852259319743,0.839091891891895,0.968078316343182
"C",70,75,72.5,3,0.0364961181112384,0.853914024896264,0.957260195936386
"C",75,80,77.5,4,0.0285205658020676,1.38407408114558,0.979393757754309
"C",80,85,82.5,4,0.0470589335734115,1.33717399534524,0.964807172636302
"C",85,90,87.5,4,0.0651898646904404,1.42568186046512,0.954274606068725
"C",90,95,92.5,4,0.0444105953203625,1.41884973730298,0.968699578149283
"C",95,100,97.5,4,0.0607080614929726,1.36936386072083,0.955666960963161
"C",100,105,102.5,4,0.0835245141346267,1.36111005649717,0.938635003293137
"C",105,110,107.5,4,0.0713014145051691,1.34197692883895,0.946868375325306
"C",110,115,112.5,4,0.0668196113077014,1.32900206322795,0.949721965709063
"C",115,120,117.5,4,0.0433920036845744,1.43641098039216,0.969791372889166
"C",120,125,122.5,4,0.0482812435363575,1.50714333062551,0.967965061746105
"C",130,135,132.5,4,0.118156629751423,1.29726501300954,0.908918664600913
"C",135,140,137.5,5,0.129972292726565,1.31199479251424,0.900935359295525
"C",140,145,142.5,5,0.130379729380881,1.38969327809998,0.906180931119463
"C",145,150,147.5,5,0.146473477226333,1.34176639391056,0.890835336246991
"C",150,155,152.5,5,0.154214773658323,1.26056356687898,0.877662041240695
"C",155,160,157.5,5,0.162363506744628,1.28766402410157,0.87390848567202
"C",160,165,162.5,5,0.153196182022535,1.33259862260226,0.885039516457418
"C",165,170,167.5,5,0.16908621154083,1.35513089104639,0.875225181081757
"C",170,175,172.5,5,0.175197761355558,1.35429894356659,0.87063582808817
"C",175,180,177.5,5,0.115304573171216,1.48219332883187,0.922206792509254
"C",180,185,182.5,5,0.169289929867987,1.38154710137545,0.877463511957396
"C",185,190,187.5,5,0.194347284108375,1.39871223087494,0.861052702751584
"C",190,195,192.5,5,0.192310100836799,1.34062514588859,0.856551921745931
"C",195,200,197.5,5,0.179272127898711,1.33707376481313,0.865922036153506
"D",0,5,2.5,1,0.0276409849086577,0.73395744680851,0.96233979908665
"D",5,10,7.5,1,0.0205918170459757,1.22214400000001,0.983151071358223
"D",10,15,12.5,1,0.0235054454281909,0.758153846153849,0.968996470112979
"D",15,20,17.5,1,0.0288762740701872,0.784432361396303,0.963188318724145
"D",20,25,22.5,1,0.0304666409564211,0.851528015414257,0.964221211275592
"D",25,30,27.5,2,0.0243092131917997,0.818287524752473,0.970292577539719
"D",30,35,32.5,2,0.0218288805580601,0.740237993981946,0.970510996820581
"D",35,40,37.5,2,0.0339493674986637,0.843348453608247,0.95974455475265
"D",40,45,42.5,3,0.0388064594179031,0.811800351718625,0.952197040398236
"D",45,50,47.5,3,0.048733235152823,0.96144087431694,0.949312291109481
"D",50,55,52.5,3,0.0650987080679998,0.974328843710296,0.933186101911855
"D",55,60,57.5,3,0.0979149502503327,1.05916788301762,0.907554834488213
"D",60,65,62.5,3,0.0847831568330812,1.05413509933775,0.919570881487254
"D",65,70,67.5,3,0.0907121843985388,1.06059425424507,0.914470416904995
"D",75,80,77.5,3,0.0101859163578813,1.89157517241377,0.994615114161769
"D",80,85,82.5,3,0.0305577490736439,1.58914157303373,0.980770908273888
"D",85,90,87.5,3,0.0352432705982692,1.47895184770436,0.976170102729866
"D",90,95,92.5,3,0.0464477785919388,1.55020518962077,0.970037657657886
"D",95,100,97.5,3,0.0590783148757115,1.43026604651163,0.95869417789802
"D",100,105,102.5,4,0.0837282324617843,1.33927540830611,0.937482438681016
"D",105,110,107.5,4,0.107970713393542,1.30429782397782,0.917219279670149
"D",110,115,112.5,4,0.136083842541294,1.34396493150685,0.898744498944093
"D",115,120,117.5,4,0.140158209084447,1.33860960428444,0.895295679460354
"D",120,125,122.5,4,0.118156629751423,1.34650398249453,0.912249327675566
"D",130,135,132.5,4,0.140565645738762,1.0956471334002,0.871705368038947
"D",135,140,137.5,4,0.162567225071786,1.2730304845815,0.872299032080737
"D",140,145,142.5,5,0.153399900349692,1.27145899171597,0.879351279632965
"D",145,150,147.5,5,0.160326323473052,1.28891074640705,0.875610996401438
"D",150,155,152.5,5,0.170715958158091,1.3058028526149,0.869263604520216
"D",155,160,157.5,5,0.171123394812406,1.31978610983504,0.870340054697352
"D",160,165,162.5,5,0.182939057787548,1.31600459115426,0.860989042882371
"D",165,170,167.5,5,0.158900295182948,1.28530904615385,0.876371915642825
"D",170,175,172.5,5,0.162770943398943,1.29787891290392,0.87458695739593
"D",175,180,177.5,5,0.160326323473052,1.32422606731421,0.878928283145622
"E",0,5,2.5,1,0.0254169976171565,0.771228006482981,0.967043471705514
"E",5,10,7.5,1,0.0218570592607822,0.696394744525553,0.968613980170581
"E",10,15,12.5,1,0.0209981979158505,0.696670684931509,0.969859219901129
"E",15,20,17.5,1,0.019971696163081,0.744403478260874,0.973170872052156
"E",20,25,22.5,1,0.0160046278441959,0.655444279835395,0.975582016142981
"E",25,30,27.5,2,0.022688598979013,0.785504603773591,0.971115893057767
"E",30,35,32.5,2,0.0319524193675952,0.984017413024087,0.967528603717084
"E",35,40,37.5,3,0.0371888109622767,0.960685204460969,0.961289285200199
"E",40,45,42.5,3,0.0672166589917501,1.07390691521348,0.937409231620053
"E",45,50,47.5,3,0.0814950739110232,1.03643166201674,0.92136956357311
"E",50,55,52.5,3,0.0956896284589879,1.2371927983252,0.922655847505317
"E",55,60,57.5,3,0.0830339321357285,1.18630541716094,0.930006277528054
"E",60,65,62.5,3,0.0662836100441256,1.18807167420815,0.944209081419011
"E",65,70,67.5,3,0.0460403419376236,1.48209109163348,0.96893555180412
"E",70,75,72.5,3,0.0613192164744455,1.3686325083612,0.955196726586694
